town,date,max_temp_c,min_temp_c,avg_temp_c,humidity,precipitation_mm,wind_kph,condition
Nairobi,2023-10-12,29.3,16.6,22.3,53,0.0,23.8,Partly cloudy
Nairobi,2023-10-13,29.1,16.3,22.3,49,0.0,22.7,Sunny
Nairobi,2023-10-14,30.9,16.5,23.4,51,0.18,25.6,Patchy rain possible
Nairobi,2023-10-15,28.8,16.6,22.2,58,0.1,27.4,Patchy rain possible
Nairobi,2023-10-16,28.3,16.6,21.8,62,0.52,26.3,Patchy rain possible
Nairobi,2023-10-17,28.7,16.2,22.1,57,0.02,24.8,Partly cloudy
Nairobi,2023-10-18,28.9,16.3,21.6,62,0.36,28.4,Patchy rain possible
Nairobi,2023-10-19,24.5,16.5,20.2,69,4.21,24.5,Light rain shower
Nairobi,2023-10-20,27.0,16.1,21.0,63,0.43,24.8,Patchy rain possible
Nairobi,2023-10-21,27.6,16.4,21.3,61,0.97,24.1,Patchy rain possible
Nairobi,2023-10-22,28.7,15.7,21.5,53,0.05,23.8,Partly cloudy
Nairobi,2023-10-23,29.2,14.9,21.6,45,0.0,23.4,Sunny
Nairobi,2023-10-24,29.1,17.7,22.3,54,0.07,25.2,Sunny
Nairobi,2023-10-25,26.0,17.6,21.2,65,2.24,21.6,Patchy rain possible
Nairobi,2023-10-26,28.0,16.2,21.1,62,0.31,28.4,Patchy rain possible
Nairobi,2023-10-27,28.0,16.0,21.5,58,0.84,25.9,Light rain shower
Nairobi,2023-10-28,25.2,15.8,20.5,62,0.27,20.5,Patchy rain possible
Nairobi,2023-10-29,27.9,15.6,21.2,60,0.09,25.2,Patchy rain possible
Nairobi,2023-10-30,27.5,15.9,20.4,66,2.82,24.8,Patchy rain possible
Nairobi,2023-10-31,27.3,16.0,20.4,67,2.45,26.3,Light rain shower
Nairobi,2023-11-01,24.6,15.5,19.9,68,1.53,19.8,Patchy rain possible
Nairobi,2023-11-02,23.6,16.7,19.5,74,7.36,18.7,Light rain shower
Nairobi,2023-11-03,22.7,16.6,18.6,82,21.08,18.4,Patchy light drizzle
Nairobi,2023-11-04,17.2,16.0,16.7,91,12.57,7.2,Light rain shower
Nairobi,2023-11-05,23.7,14.7,18.6,77,0.96,16.9,Patchy rain possible
Nairobi,2023-11-06,23.3,16.3,18.6,83,9.48,15.5,Light rain shower
Nairobi,2023-11-07,20.1,16.3,17.6,88,6.18,15.1,Light rain shower
Nairobi,2023-11-08,23.6,15.6,18.8,81,4.06,19.1,Light rain shower
Nairobi,2023-11-09,22.2,16.6,18.2,86,13.28,13.3,Light rain shower
Nairobi,2023-11-10,19.9,16.3,17.2,90,23.75,12.6,Moderate rain
Nairobi,2023-11-11,18.6,15.4,16.6,91,6.48,12.6,Light rain shower
